"id","pattern","is_active","type","prefix","label","priority"
1,(\d+) (ngo|ngach|duong|to),1,TEXT,số,NUMBER,3
2,(\d+),1,STREET,số,NUMBER,3
3,ngo (\d+)\s,1,TEXT,ngõ,LANE,1
4,ngach (\d+)\s,1,TEXT,ngách,NICHE,2
5,so (\d+),1,TEXT,số,NUMBER,3
6,so nha (\d+),1,TEXT,số,NUMBER,3
7,to (\d+),0,TEXT,tổ,NEST,1
8,sn (\d+),1,TEXT,số,NUMBER,3
9,lo (\d+)\s,0,TEXT,lô,BATCH,1
10,so (.+)\s,0,TEXT,số,NUMBER,1
11,xom (\d+|\w+)\s,0,TEXT,xóm,NEIGHBORS,1
12,to dan pho so (\d+),0,TEXT,tổ dân phố,TDP,1
13,to dan pho (\d+),0,TEXT,tổ dân phố,TDP,1
14,nha (\d+),1,TEXT,số,NUMBER,3
