id,_name,_prefix,_province_id,sync_words
1,Bình Chánh,Huyện,1,"binh chanh,huyen binh chanh"
2,Bình Tân,Quận,1,"binh tan,quan binh tan"
3,Bình Thạnh,Quận,1,"binh thanh,quan binh thanh"
4,Cần Giờ,Huyện,1,"can gio,huyen can gio"
5,Củ Chi,Huyện,1,"cu chi,huyen cu chi"
6,Gò Vấp,Quận,1,"go vap,quan go vap"
7,Hóc Môn,Huyện,1,"hoc mon,huyen hoc mon"
8,Nhà Bè,Huyện,1,"nha be,huyen nha be"
9,Phú Nhuận,Quận,1,"phu nhuan,quan phu nhuan"
10,Quận 1,,1,"quan 1, quan 1"
11,Quận 10,,1,"quan 10, quan 10"
12,Quận 11,,1,"quan 11, quan 11"
13,Quận 12,,1,"quan 12, quan 12"
14,Quận 2,,1,"quan 2, quan 2"
15,Quận 3,,1,"quan 3, quan 3"
16,Quận 4,,1,"quan 4, quan 4"
17,Quận 5,,1,"quan 5, quan 5"
18,Quận 6,,1,"quan 6, quan 6"
19,Quận 7,,1,"quan 7, quan 7"
20,Quận 8,,1,"quan 8, quan 8"
21,Quận 9,,1,"quan 9, quan 9"
22,Tân Bình,Quận,1,"tan binh,quan tan binh"
23,Tân Phú,Quận,1,"tan phu,quan tan phu"
24,Thủ Đức,Quận,1,"thu duc,quan thu duc"
25,Ba Đình,Quận,2,"ba dinh,quan ba dinh"
26,Ba Vì,Huyện,2,"ba vi,huyen ba vi"
27,Bắc Từ Liêm,Quận,2,"bac tu liem,quan bac tu liem"
28,Cầu Giấy,Quận,2,"cau giay,quan cau giay"
29,Chương Mỹ,Huyện,2,"chuong my,huyen chuong my"
30,Đan Phượng,Huyện,2,"dan phuong,huyen dan phuong"
31,Đông Anh,Huyện,2,"dong anh,huyen dong anh"
32,Đống Đa,Quận,2,"dong da,quan dong da"
33,Gia Lâm,Huyện,2,"gia lam,huyen gia lam"
34,Hà Đông,Quận,2,"ha dong,quan ha dong"
35,Hai Bà Trưng,Quận,2,"hai ba trung,quan hai ba trung"
