"id","_name","_prefix","_province_id","_district_id","sync_words","priority_sync_words"
1,"1",Đường,1,1,duong 1,duong 1
2,"10",Đường,1,1,duong 10,duong 10
3,"10A",Đường,1,1,"10a",duong 10a
4,"10B",Đường,1,1,"10b",duong 10b
5,"11",Đường,1,1,duong 11,duong 11
6,"11D",Đường,1,1,"11d",duong 11d
7,"11E",Đường,1,1,"11e",duong 11e
8,"12",Đường,1,1,duong 12,duong 12
9,"1-2",Đường,1,1,"1-2",duong 1-2
10,"13",Đường,1,1,duong 13,duong 13
11,"13B",Đường,1,1,"13b",duong 13b
12,"14",Đường,1,1,duong 14,duong 14
13,"15",Đường,1,1,duong 15,duong 15
14,"16",Đường,1,1,duong 16,duong 16
15,"17",Đường,1,1,duong 17,duong 17
16,"18",Đường,1,1,duong 18,duong 18
17,"18A",Đường,1,1,"18a",duong 18a
18,"18B",Đường,1,1,"18b",duong 18b
19,"18D",Đường,1,1,"18d",duong 18d
20,"19",Đường,1,1,duong 19,duong 19
21,"1A",Đường,1,1,"1a",duong 1a
22,"1B",Đường,1,1,"1b",duong 1b
23,"1C",Đường,1,1,"1c",duong 1c
24,"1D",Đường,1,1,"1d",duong 1d
25,"1E",Đường,1,1,"1e",duong 1e
26,"1F",Đường,1,1,"1f",duong 1f
27,"2",Đường,1,1,duong 2,duong 2
28,"20",Đường,1,1,duong 20,duong 20
29,"206",Đường,1,1,duong 206,duong 206
30,"21",Đường,1,1,duong 21,duong 21
31,"22",Đường,1,1,duong 22,duong 22
32,"234",Đường,1,1,duong 234,duong 234
33,"24",Phố,1,1,pho 24,pho 24
34,"24A",Đường,1,1,"24a",duong 24a
35,"26",Đường,1,1,duong 26,duong 26
36,"27",Đường,1,1,duong 27,duong 27
37,"284",Đường,1,1,duong 284,duong 284
38,"29",Đường,1,1,duong 29,duong 29
39,"2A",Đường,1,1,"2a",duong 2a
40,"2B",Đường,1,1,"2b",duong 2b
41,"2C",Đường,1,1,"2c",duong 2c
42,"2F",Đường,1,1,"2f",duong 2f
43,"2G",Đường,1,1,"2g",duong 2g
44,"3",Đường,1,1,duong 3,duong 3
45,"33",Đường,1,1,duong 33,duong 33
46,"378",Đường,1,1,duong 378,duong 378
47,"3A",Đường,1,1,"3a",duong 3a
48,"3B",Đường,1,1,"3b",duong 3b
49,"4",Đường,1,1,duong 4,duong 4
50,"47",Đường,1,1,duong 47,duong 47
51,"4A",Đường,1,1,"4a",duong 4a
52,"4B",Đường,1,1,"4b",duong 4b
53,"4C",Đường,1,1,"4c",duong 4c
54,"4E",Đường,1,1,"4e",duong 4e
55,"5",Đường,1,1,duong 5,duong 5
56,"50",Đường,1,1,duong 50,duong 50
