"id","_name","_prefix","_province_id","_district_id","sync_words","priority_sync_words"
1,An Phú Tây,Xã,1,1,an phu tay,xa an phu tay
2,Bình Chánh,Xã,1,1,binh chanh,xa binh chanh
3,Bình Hưng,Xã,1,1,binh hung,xa binh hung
4,Bình Lợi,Xã,1,1,binh loi,xa binh loi
5,Đa Phước,Xã,1,1,da phuoc,xa da phuoc
6,Hưng Long,Xã,1,1,hung long,xa hung long
7,Lê Minh Xuân,Xã,1,1,le minh xuan,xa le minh xuan
8,Phạm Văn Hai,Xã,1,1,pham van hai,xa pham van hai
9,Phong Phú,Xã,1,1,phong phu,xa phong phu
10,Quy Đức,Xã,1,1,quy duc,xa quy duc
11,Tân Kiên,Xã,1,1,tan kien,xa tan kien
12,Tân Nhựt,Xã,1,1,tan nhut,xa tan nhut
13,Tân Quý Tây,Xã,1,1,tan quy tay,xa tan quy tay
14,Tân Túc,Thị trấn,1,1,tan tuc,thi tran tan tuc
15,Vĩnh Lộc A,Xã,1,1,vinh loc a,xa vinh loc a
16,Vĩnh Lộc B,Xã,1,1,vinh loc b,xa vinh loc b
17,An Lạc,Phường,1,2,an lac,phuong an lac
18,An Lạc A,Phường,1,2,an lac a,phuong an lac a
19,Bình Hưng Hòa,Phường,1,2,binh hung hoa,phuong binh hung hoa
20,Bình Hưng Hòa A,Phường,1,2,binh hung hoa a,phuong binh hung hoa a
21,Bình Hưng Hòa B,Phường,1,2,binh hung hoa b,phuong binh hung hoa b
22,Bình Trị Đông,Phường,1,2,binh tri dong,phuong binh tri dong
23,Bình Trị Đông A,Phường,1,2,binh tri dong a,phuong binh tri dong a
24,Bình Trị Đông B,Phường,1,2,binh tri dong b,phuong binh tri dong b
25,Tân Tạo,Phường,1,2,tan tao,phuong tan tao
26,Tân Tạo A,Phường,1,2,tan tao a,phuong tan tao a
27,"1",Phường,1,3,"1",phuong 1
28,"11",Phường,1,3,"11",phuong 11
29,"12",Phường,1,3,"12",phuong 12
30,"13",Phường,1,3,"13",phuong 13
31,"14",Phường,1,3,"14",phuong 14
32,"15",Phường,1,3,"15",phuong 15
33,"17",Phường,1,3,"17",phuong 17
34,"19",Phường,1,3,"19",phuong 19
35,"2",Phường,1,3,"2",phuong 2
36,"21",Phường,1,3,"21",phuong 21
37,"22",Phường,1,3,"22",phuong 22
38,"24",Phường,1,3,"24",phuong 24
